latitude,longitude,name,tipo,cidade
-26.99598684094594,-48.601907396928006,Praia da Lady Day,natural,Balneario Camboriu
-26.992623206774926,-48.59787167679979,Mirrante do Torres,natural,Balneario Camboriu
-27.016237783175384,-48.61422765087827,Zoo Balneário Camboriú - Complexo Ambiental Cyro Gevaerd,parque,Balneario Camboriu
-27.00459908783255,-48.60325709411865,Letreiro Eu Amo BC,arquitetonico,Balneario Camboriu
-27.00122958990969,-48.60504251786111,Molhe da Barra Sul,arquitetonico,Balneario Camboriu
-27.002399268311663,-48.601520330151935,Barra Sul,natural,Balneario Camboriu
-27.0004390203825,-48.59754503955102,Teleférico - Estação Mata Atlântica,arquitetonico,Balneario Camboriu
-27.004189421416765,-48.62574924468443,Casinha de Livros de BC,arquitetonico,Balneario Camboriu
-26.9963870517361,-48.645192977246225,Praça das Bandeiras,arquitetonico,Balneario Camboriu
-26.9856978656171,-48.645448143232166,Morro da Cruz Empreendimentos Turísticos,arquitetonico,Balneario Camboriu
-27.022385370392172,-48.66483628822049,"Parque Linear, Camboriú, SC",parque,Camboriu
-27.038617160318122,-48.64812842654006,Praça do Cedros,parque,Camboriu
