latitude,longitude,name,tipo,cidade
-27.003045184939626,-48.62667696122894,Growfit Balneário Camboriú,Restaurante,Balneario Camboriu
-27.004664924664006,-48.62087009146057,Restaurante Tempero Caseiro,Restaurante,Balneario Camboriu
-27.007517670190445,-48.62394212902492,Macarronada Italiana,Restaurante,Balneario Camboriu
-27.0061487020614,-48.62775060283482,D' Lilian Restaurante,Restaurante,Balneario Camboriu
-27.007388964499135,-48.629864962550485,Restaurante D'VILLAS,Restaurante,Balneario Camboriu
-27.004886853559256,-48.63394338493723,Restaurante Recanto do Sabor,Restaurante,Balneario Camboriu
-27.004661450517688,-48.638759450927324,Restaurante Puro Sabor,Restaurante,Balneario Camboriu
-27.003539435082974,-48.641219047126846,Restaurante Don Diego,Restaurante,Balneario Camboriu
-26.9980519170636,-48.63781496598671,Restaurante Brasa Grill,Restaurante,Balneario Camboriu
-26.990951056863018,-48.62923589416729,Restaurante Sabores do Mar - Avenida Atlântica,Restaurante,Balneario Camboriu
-26.99230113142873,-48.637559167706485,Restaurante Sabor & Arte,Restaurante,Balneario Camboriu
-26.995209990436383,-48.64724473815007,Restaurante Zaca Delivery pizzaria,Restaurante,Balneario Camboriu
-26.995495309945813,-48.64772775239426,Restaurante Da Jane,Restaurante,Balneario Camboriu
-27.030808848252573,-48.65885764385717,Allex Hamburgueria,Restaurante,Camboriu
-27.032146798198234,-48.66128236071475,Churrasco e Cia Camboriú,Restaurante,Camboriu
-27.026489072475247,-48.66164714112694,El Mexicano Camboriú,Restaurante,Camboriu
-27.025112825762967,-48.65342885275328,Restaurante Saboreando,Restaurante,Camboriu
-27.02322045908762,-48.65246325754452,Villa Chopp Restaurante,Restaurante,Camboriu
-27.028075558089252,-48.64729195852721,AMERICAN TASTE CAMBORIÚ,Restaurante,Camboriu
-27.029681135181747,-48.63315135286496,ZIG BURGER - CAMBORIÚ,Restaurante,Camboriu
-27.034562434346036,-48.65722838116253,Monari Restaurante,Restaurante,Camboriu
-27.018327139532893,-48.637470771946646,Restaurante Vô Ivo,Restaurante,Camboriu
-27.023436418285762,-48.65124773326583,XBURGUINHO Hamburgueria Camboriú,Restaurante,Camboriu
-27.021868516184423,-48.64924491510048,CAMBORIU SUSHI,Restaurante,Camboriu
-27.020922357777867,-48.65224914234851,Subway,Restaurante,Camboriu
